id,gender,seniorcitizen,partner,dependents,tenure,phoneservice,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,tenure_group,monthlycharges_group,total_services,customerid,multiplelines
166,Male,0,Yes,No,69,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,1363.45,0,48-72,Low,0,,No
167,Female,0,No,No,4,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,1,0-12,High,0,,No
168,Male,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.05,6254.45,0,48-72,High,0,,Yes
169,Male,1,Yes,No,58,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,1,48-72,Medium,0,,No phone service
170,Female,0,Yes,Yes,16,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.4,321.4,0,12-24,Low,0,,No
171,Male,0,Yes,No,43,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),84.25,3539.25,0,24-48,High,0,,No
172,Female,0,Yes,No,2,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,1,0-12,High,0,,Yes
173,Male,0,Yes,No,14,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,81.95,1181.75,0,12-24,High,0,,No
174,Female,0,Yes,No,53,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,1,48-72,High,0,,No
175,Female,0,No,No,32,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.55,654.55,0,24-48,Low,0,,No
176,Female,0,Yes,No,34,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.7,780.2,0,24-48,Low,0,,Yes
177,Female,1,No,No,15,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,1,12-24,High,0,,Yes
178,Female,1,No,No,7,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,1,0-12,High,0,,No
179,Female,0,Yes,Yes,15,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25,0,12-24,High,0,,Yes
180,Male,0,Yes,No,61,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.55,1252.0,0,48-72,Low,0,,No
181,Female,0,No,No,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,1,0-12,Low,0,,No phone service
182,Female,0,No,No,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.3,45.3,0,0-12,Medium,0,,No
183,Male,0,No,No,8,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,1,0-12,High,0,,Yes
184,Male,0,Yes,Yes,33,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),74.75,2453.3,0,24-48,High,0,,No
185,Female,0,No,No,13,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,1,12-24,High,0,,No
186,Female,0,Yes,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,1,0-12,Low,0,,No phone service
187,Male,0,No,No,20,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,51.8,1023.85,0,12-24,Medium,0,,No
188,Male,0,No,No,3,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,30.4,82.15,0,0-12,Low,0,,No phone service
189,Female,0,No,No,13,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.65,244.8,0,12-24,Low,0,,No
190,Female,0,Yes,No,40,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),56.6,2379.1,0,24-48,Medium,0,,Yes
191,Male,0,Yes,Yes,43,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),71.9,3173.35,0,24-48,High,0,,Yes
192,Male,0,Yes,No,6,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,1,0-12,High,0,,No
193,Female,0,Yes,Yes,69,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.75,1375.4,0,48-72,Low,0,,No
194,Female,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),109.7,8129.3,0,48-72,High,0,,Yes
195,Male,0,Yes,Yes,59,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.3,1192.7,0,48-72,Low,0,,No
196,Female,0,Yes,No,20,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,96.55,1901.65,0,12-24,High,0,,No
197,Male,0,Yes,Yes,24,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.1,587.4,0,12-24,Low,0,,Yes
198,Male,0,No,No,59,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.35,6519.75,0,48-72,High,0,,Yes
199,Male,0,Yes,Yes,72,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),112.25,8041.65,0,48-72,High,0,,Yes
200,Male,0,No,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.75,20.75,0,0-12,Low,0,,No
201,Female,0,Yes,No,27,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),101.9,2681.15,0,24-48,High,0,,No
202,Female,0,No,No,14,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),80.05,1112.3,0,12-24,High,0,,No
203,Male,0,Yes,Yes,71,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,105.55,7405.5,0,48-72,High,0,,Yes
204,Male,0,No,Yes,13,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,0,12-24,High,0,,No
205,Male,0,No,No,44,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),68.85,2958.95,0,24-48,Medium,0,,No
206,Female,0,No,No,33,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),79.95,2684.85,0,24-48,High,0,,No
207,Male,0,Yes,Yes,72,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),55.45,4179.2,0,48-72,Medium,0,,No phone service
208,Male,0,No,No,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,1,0-12,High,0,,No
209,Female,0,No,No,19,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,1,12-24,High,0,,No
210,Male,0,Yes,No,64,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),102.45,6654.1,0,48-72,High,0,,No
211,Male,0,No,No,2,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,1,0-12,Medium,0,,No
212,Female,0,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,25.25,25.25,0,0-12,Low,0,,No phone service
213,Male,0,No,Yes,61,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.75,1124.2,0,48-72,Low,0,,No
214,Female,0,Yes,Yes,29,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.0,540.05,0,24-48,Low,0,,No
215,Male,1,Yes,No,23,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,86.8,1975.85,0,12-24,High,0,,Yes
216,Female,0,Yes,No,57,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),58.75,3437.45,0,48-72,Medium,0,,No phone service
217,Male,0,Yes,Yes,72,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),45.25,3139.8,0,48-72,Medium,0,,No phone service
218,Male,0,Yes,No,66,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),56.6,3789.2,0,48-72,Medium,0,,No phone service
219,Male,0,Yes,Yes,65,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),84.2,5324.5,0,48-72,High,0,,Yes
220,Female,0,No,No,8,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),80.0,624.6,0,0-12,High,0,,No
221,Female,0,No,No,4,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,1,0-12,High,0,,No
222,Female,0,Yes,No,71,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.75,1836.9,0,48-72,Low,0,,Yes
223,Male,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.2,20.2,0,0-12,Low,0,,No
224,Male,0,Yes,No,4,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,1,0-12,Medium,0,,No
225,Female,0,No,No,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.35,219.35,0,0-12,Low,0,,No
226,Male,0,No,No,24,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,50.6,1288.75,0,12-24,Medium,0,,No phone service
227,Female,0,Yes,Yes,31,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,81.15,2545.75,0,24-48,High,0,,No
228,Female,0,Yes,No,1,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,1,0-12,Medium,0,,No
229,Male,0,No,No,30,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),89.9,2723.15,0,24-48,High,0,,Yes
230,Female,0,Yes,Yes,47,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85.3,4107.25,0,24-48,High,0,,Yes
231,Male,0,No,No,54,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.0,5760.65,0,48-72,High,0,,Yes
232,Male,0,No,No,50,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),93.5,4747.5,0,48-72,High,0,,No
233,Male,0,No,No,1,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,1,0-12,High,0,,No
234,Female,0,No,No,72,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.25,1566.9,0,48-72,Low,0,,No
235,Female,0,No,No,29,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.15,702.0,0,24-48,Low,0,,Yes
236,Male,0,No,No,2,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,1,0-12,Medium,0,,Yes
237,Female,0,No,No,10,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,29.6,299.05,0,0-12,Low,0,,No phone service
238,Male,0,Yes,No,18,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.15,1305.95,0,12-24,High,0,,Yes
239,Female,1,No,No,11,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,1,0-12,High,0,,No
240,Male,0,No,No,16,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.75,284.35,0,12-24,Low,0,,No
241,Female,0,No,No,72,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),86.6,6350.5,0,48-72,High,0,,Yes
242,Male,0,No,No,72,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),109.2,7878.3,0,48-72,High,0,,Yes
243,Female,0,Yes,Yes,41,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),74.7,3187.65,0,24-48,High,0,,No
244,Female,1,Yes,No,65,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,94.4,6126.15,0,48-72,High,0,,No
245,Female,1,No,No,13,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,54.8,731.3,0,12-24,Medium,0,,No
246,Male,1,No,No,4,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,75.35,273.4,0,0-12,High,0,,No
247,Male,0,No,No,41,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,65.0,2531.8,0,24-48,Medium,0,,Yes
248,Male,1,No,No,15,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,1,12-24,High,0,,No
249,Male,0,No,No,1,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,1,0-12,Medium,0,,No
250,Male,0,No,No,42,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,99.0,4298.45,0,24-48,High,0,,Yes
251,Female,0,Yes,No,51,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,93.5,4619.55,0,48-72,High,0,,No
252,Female,0,Yes,Yes,2,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,1,0-12,High,0,,No
253,Male,1,Yes,No,1,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,1,0-12,Medium,0,,No phone service
254,Male,0,No,Yes,32,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),83.7,2633.3,0,24-48,High,0,,Yes
255,Male,0,No,No,10,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.85,193.05,0,0-12,Low,0,,No
256,Female,0,Yes,Yes,67,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,59.55,4103.9,0,48-72,Medium,0,,No phone service
257,Female,0,Yes,Yes,61,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),115.1,7008.15,0,48-72,High,0,,Yes
258,Male,0,No,No,50,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),114.35,5791.1,0,48-72,High,0,,Yes
259,Female,0,Yes,No,2,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,1,0-12,Medium,0,,No
260,Female,1,Yes,No,29,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.0,1228.65,0,24-48,Medium,0,,No phone service
261,Male,1,No,No,3,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,1,0-12,Medium,0,,No phone service
262,Male,1,No,No,13,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,1,12-24,High,0,,Yes
263,Male,1,Yes,No,57,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.85,4925.35,0,48-72,High,0,,Yes
264,Female,0,No,No,31,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),49.85,1520.1,0,24-48,Medium,0,,No phone service
265,Female,0,Yes,No,45,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,113.3,5032.25,0,24-48,High,0,,Yes
266,Female,0,Yes,Yes,61,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,88.1,5526.75,0,48-72,High,0,,Yes
267,Male,0,No,No,50,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.9,1195.25,0,48-72,Low,0,,Yes
268,Female,1,No,No,19,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,105.0,2007.25,0,12-24,High,0,,No
269,Male,0,No,No,59,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,1,48-72,Low,0,,No
270,Female,0,Yes,No,71,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.25,1732.95,0,48-72,Low,0,,Yes
271,Female,1,No,No,16,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,1,12-24,High,0,,No
272,Male,0,Yes,No,57,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Electronic check,59.75,3450.15,0,48-72,Medium,0,,No
273,Male,0,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,1,0-12,Low,0,,No phone service
274,Male,1,Yes,No,20,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,107.05,2172.05,0,12-24,High,0,,Yes
275,Male,0,No,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,1,0-12,High,0,,No
276,Male,0,Yes,No,5,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,1,0-12,High,0,,Yes
277,Female,0,Yes,No,52,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,1,48-72,High,0,,Yes
278,Male,1,Yes,No,21,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.95,1339.8,0,12-24,Medium,0,,No
279,Male,0,No,No,14,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,55.0,771.95,0,12-24,Medium,0,,No phone service
280,Female,0,No,No,5,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),50.55,244.75,0,0-12,Medium,0,,No
281,Female,0,No,No,6,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,55.15,322.9,0,0-12,Medium,0,,No
282,Female,0,No,No,10,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,51.2,498.25,0,0-12,Medium,0,,No
283,Female,0,No,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.4,25.4,0,0-12,Low,0,,Yes
284,Female,0,No,No,68,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,54.45,3687.75,0,48-72,Medium,0,,Yes
285,Male,0,Yes,Yes,18,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,1,12-24,High,0,,No
286,Female,0,No,No,22,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),76.0,1783.6,0,12-24,High,0,,Yes
287,Female,0,No,No,20,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.35,927.15,0,12-24,Medium,0,,No
288,Male,0,Yes,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,1,0-12,Medium,0,,No
289,Male,1,No,No,8,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,1,0-12,High,0,,No
290,Male,0,No,No,10,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,1,0-12,Medium,0,,No
291,Male,1,No,No,24,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,1,12-24,High,0,,Yes
292,Male,0,No,No,35,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Mailed check,61.2,2021.2,0,24-48,Medium,0,,No
293,Male,0,Yes,Yes,23,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Mailed check,86.8,1940.8,0,12-24,High,0,,No
294,Female,1,No,No,6,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.35,567.8,0,0-12,High,0,,No
295,Female,0,No,No,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.7,220.35,0,0-12,Low,0,,No
296,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.25,20.25,0,0-12,Low,0,,No
297,Female,0,Yes,Yes,71,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,76.05,5436.45,0,48-72,High,0,,No
298,Male,1,Yes,No,35,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.8,3437.5,0,24-48,High,0,,Yes
299,Male,0,Yes,Yes,40,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.55,3015.75,0,24-48,High,0,,Yes
300,Female,0,No,Yes,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,1,0-12,High,0,,No
301,Male,0,No,No,23,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),64.9,1509.8,0,12-24,Medium,0,,No
302,Female,1,No,No,4,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,1,0-12,High,0,,Yes
303,Male,0,No,No,4,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,90.4,356.65,0,0-12,High,0,,No
304,Female,0,Yes,Yes,68,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),60.3,4109.0,0,48-72,Medium,0,,No phone service
305,Male,0,No,Yes,38,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,81.85,3141.7,0,24-48,High,0,,Yes
306,Male,0,Yes,Yes,52,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.8,1229.1,0,48-72,Low,0,,Yes
307,Male,1,Yes,No,32,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,1,24-48,High,0,,Yes
308,Male,0,Yes,Yes,29,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,75.55,2054.4,0,24-48,High,0,,No
309,Male,1,Yes,Yes,38,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,3741.85,0,24-48,High,0,,Yes
310,Male,0,No,Yes,48,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),78.75,3682.45,0,24-48,High,0,,Yes
311,Female,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.25,19.25,0,0-12,Low,0,,No
312,Female,0,No,No,22,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.05,1886.25,0,12-24,High,0,,No
313,Female,0,No,No,43,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),115.05,4895.1,0,24-48,High,0,,Yes
314,Female,1,Yes,No,5,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.35,341.6,0,0-12,Medium,0,,No
315,Male,0,No,No,5,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,1,0-12,High,0,,No
316,Male,0,Yes,Yes,51,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),110.05,5686.4,0,48-72,High,0,,Yes
317,Male,0,No,No,71,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.9,1355.1,0,48-72,Low,0,,No
318,Female,0,Yes,Yes,38,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,1,24-48,High,0,,No
319,Male,1,Yes,No,24,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,1,12-24,High,0,,No
320,Male,0,Yes,No,35,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),91.5,3236.35,0,24-48,High,0,,Yes
321,Female,1,No,No,54,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,1,48-72,High,0,,Yes
322,Female,0,Yes,Yes,72,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,60.0,4264.0,0,48-72,Medium,0,,No phone service
323,Male,0,No,No,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.8,44.8,0,0-12,Medium,0,,No
324,Female,0,Yes,Yes,9,Yes,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,48.6,422.3,0,0-12,Medium,0,,No
325,Male,0,No,No,69,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),60.05,4176.7,0,48-72,Medium,0,,No phone service
326,Female,0,Yes,No,52,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.7,5138.1,0,48-72,High,0,,Yes
327,Female,1,Yes,No,11,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,82.9,880.05,0,0-12,High,0,,No
328,Female,1,No,No,2,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,1,0-12,High,0,,No
329,Female,1,Yes,Yes,28,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,35.9,973.65,0,24-48,Medium,0,,No phone service
330,Female,1,No,No,17,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),82.65,1470.05,0,12-24,High,0,,Yes
331,Female,0,Yes,Yes,35,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.85,739.35,0,24-48,Low,0,,No
332,Female,0,No,No,8,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.2,161.95,0,0-12,Low,0,,No
333,Male,0,No,No,46,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),94.9,4422.95,0,24-48,High,0,,Yes
